pcode,qa code,method code,rounding code,qualifiers,reporting level,reporting level type,dqi code,null value qualifier,prep set no,analytical set no,analysis date,prep date,lab comment,field comment,lab stdev,analyzing entity code
90095,,SC002,3,,,,S,,,,,,,,,USGSFLCO
00403,,EL002,3,,,,S,,,,,,,,,USGSFLCO
00413,,TT060,3,,,,S,,,,,,EPA 310.1,,,USGSFLCO
00915,,IC032,3,,0.01,MDL,S,,,,,,ASTM D6919-03,,,USGSFLCO
00925,,IC032,3,,0.01,MDL,S,,,,,,ASTM D6919-03,,,USGSFLCO
00930,,IC032,3,,0.01,MDL,S,,,,,,ASTM D6919-03,,,USGSFLCO
00935,,IC032,3,,0.01,MDL,S,,,,,,ASTM D6919-03,,,USGSFLCO
00608,,,3,,0.007,MDL,S,,,,,,ASTM D6919-03,,,USGSFLCO
00618,,IC025,3,,0.003,MDL,S,,,,,,,,,USGSFLCO
00940,,IC010,3,,0.01,MDL,S,,,,,,,,,USGSFLCO
00945,,IC010,3,,0.01,MDL,S,,,,,,,,,USGSFLCO
00681,,00121,3,,0.1,MDL,S,,,,,,,,,USGSFLCO
00600,,,3,,0.05,MDL,S,,,,,,ASTM D5176,,,USGSFLCO
00602,,,3,,0.05,MDL,S,,,,,,ASTM D5176,,,USGSFLCO
81026,,,3,,,,S,,,,,,,,,
82300,,,3,,,,S,,,,,,,,,
,,,,,,,,,,,,,,,,
